POA_CODE_2016,Total_Persons_Persons,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_hhd_inc_weekly,Average_household_size
POA4226,32243,40,1900,1466,2.6
POA4227,21687,34,1950,1458,2.7
POA4228,5297,43,2167,1903,3.2
POA4229,384,19,0,0,0
POA4230,1674,43,1580,1265,2.1
POA4270,3950,41,2080,1841,3
POA4271,2888,47,1650,1217,2.4
POA4272,4612,51,1807,1266,2.5
POA4275,3434,42,1863,1542,2.8
POA4280,16862,35,1950,1791,3.2
POA4285,20247,40,1738,1296,2.7
POA4287,824,46,1387,982,2.4
POA4300,55669,30,1800,1706,3
POA4301,28240,28,1517,1369,3.1
POA4303,3946,38,1231,941,2.7
POA4304,17316,35,1387,1140,2.5
POA4305,62549,34,1473,1253,2.6
POA4306,35798,38,1800,1663,2.9
POA4307,1555,42,1560,1424,2.8
POA4309,3006,44,1437,1117,2.6
POA4310,5752,47,1430,1098,2.4
POA4311,10599,41,1473,1100,2.7
POA4312,2672,53,1279,859,2.2
POA4313,2323,50,1300,853,2.3
POA4340,5451,42,1517,1243,2.6
POA4341,14592,40,1543,1173,2.7
POA4342,2618,40,1300,1055,2.6
POA4343,11359,35,1517,1140,2.7
POA4344,2622,41,1517,1228,2.6
POA4345,328,20,0,574,2.5
POA4346,873,41,1394,1307,2.6
POA4347,1192,44,1300,1163,2.6
POA4350,106745,37,1517,1231,2.4
POA4352,28460,38,1733,1723,2.9
POA4353,294,44,1322,974,2.5
POA4354,1199,41,1202,1081,2.5
POA4355,2678,51,1300,854,2.3
POA4356,5179,42,1517,1289,2.6
POA4357,2582,45,1100,1049,2.4
POA4358,2264,38,1517,1364,2.7
POA4359,1243,40,1300,1330,2.7
POA4360,592,42,1400,1237,2.5
POA4361,2653,49,1291,967,2.4
POA4362,2462,48,1300,970,2.4
POA4363,599,42,1478,1323,2.5
POA4364,217,36,940,1446,2.8
POA4365,508,51,1000,805,2.3
POA4370,18521,42,1300,1024,2.4
POA4371,708,51,1300,888,2.3
POA4372,161,49,1300,1149,2.5
POA4373,1032,51,1095,862,2.3
POA4374,355,54,1083,946,2.2
POA4375,211,51,1300,900,2.2
POA4376,319,50,975,878,2.2
POA4377,538,49,1109,984,2.3
POA4378,511,45,1469,958,2.5
POA4380,7907,47,1213,919,2.3
POA4381,594,46,1127,862,2.5
POA4382,517,47,1083,1052,2.5
POA4383,619,51,867,731,2
POA4384,64,45,500,1083,2.4
POA4385,1222,51,867,794,2.2
POA4387,1280,48,997,984,2.3
POA4388,416,43,800,914,2.5
POA4390,6878,36,1517,1399,2.5
POA4400,1884,37,1473,1337,2.8
POA4401,5719,39,1333,1159,2.6
POA4402,297,56,755,774,2.1
POA4403,811,40,990,1244,2.7
POA4404,539,37,1733,1508,2.8
POA4405,14485,35,1452,1301,2.6
POA4406,1467,41,800,1112,2.6
POA4407,526,46,741,1244,2.4
POA4408,631,44,1094,1047,2.5
POA4410,1122,52,964,887,2.1
POA4411,287,35,867,1465,2.6
POA4412,192,37,867,1075,2.4
POA4413,8024,35,1690,1338,2.6
POA4415,1988,39,1232,1116,2.3
POA4416,498,38,1586,1473,2.6
POA4417,669,44,867,1050,2.3
POA4418,109,41,0,788,2.3
POA4419,944,39,700,1391,2.3
POA4420,1178,44,810,1206,2.5
POA4421,2483,47,867,776,2.2
POA4422,482,43,1509,1107,2.5
POA4423,200,39,0,1091,2.8
POA4424,238,34,1323,1271,2.5
POA4425,219,38,825,1100,2.4
POA4426,124,48,804,1041,2.4
POA4427,351,42,761,1089,2.4
POA4428,666,42,1299,1164,2.6
POA4454,706,42,991,1284,2.2
POA4455,8486,34,1590,1542,2.5
POA4461,58,49,1100,1174,2.1
POA4462,110,45,0,850,2.2
POA4465,1230,43,1016,1003,2.5
POA4467,197,45,723,840,2.4
POA4468,255,48,390,972,2.2
POA4470,3574,38,1083,1176,2.4
POA4472,1426,48,863,938,2.2
POA4474,93,46,0,840,1.9
POA4475,0,0,0,0,0
POA4477,468,44,433,812,2.3
POA4478,476,44,743,1058,2.4
POA4479,16,49,0,1124,2
POA4480,751,39,763,1125,2.3
POA4481,121,45,288,1593,2
POA4482,140,31,0,1437,2.6
POA4486,703,45,700,1129,2.3
POA4487,3098,38,1233,1290,2.5
POA4488,250,46,379,871,2.2
POA4489,99,52,0,900,2.4
POA4490,1422,44,542,849,2.2
POA4491,95,54,0,1107,1.9
POA4492,306,38,715,1383,2.1
POA4493,23,58,0,1062,1.3
POA4494,151,30,0,1213,2.5
POA4496,266,37,510,1176,2.5
POA4497,327,41,1378,1399,2.6
POA4498,217,35,180,1437,2.7
POA4500,42401,34,1820,1683,2.9
POA4501,5658,36,1619,1190,2.5
POA4502,8674,36,1733,1599,2.7
POA4503,43651,33,1733,1478,2.7
POA4504,18573,32,1950,1874,3.2
POA4505,20452,40,1800,1435,2.8
POA4506,21810,32,1650,1328,2.9
POA4507,18142,59,1600,860,2.1
POA4508,19850,37,1538,1111,2.7
POA4509,30105,31,2058,1840,3
POA4510,48304,36,1582,1114,2.6
POA4511,9095,47,1706,1066,2.5
POA4512,3442,41,2000,1742,3
POA4514,7404,40,1733,1301,2.7
POA4515,4064,42,1500,1142,2.5
POA4516,3963,39,1842,1816,3.3
POA4517,763,44,1884,1255,2.5
POA4518,5065,42,1777,1389,2.7
POA4519,8426,41,1733,1259,2.7
POA4520,13196,43,2373,2306,3.1
POA4521,4730,43,2058,1837,2.8
POA4550,4257,42,1647,1245,2.6
POA4551,56733,44,1885,1201,2.4
POA4552,8432,54,1560,1022,2.3
POA4553,5891,41,1950,1559,2.9
POA4554,1947,42,1733,1423,2.9
POA4555,6925,43,1733,1391,2.8
POA4556,43340,42,1950,1384,2.6
POA4557,18985,36,1950,1410,2.5
POA4558,19163,45,1647,1093,2.1
POA4559,6321,43,1733,1372,2.8
POA4560,31710,43,1650,1158,2.5
POA4561,7212,42,1777,1422,2.8
POA4562,8035,45,1800,1449,2.8
POA4563,8478,47,1650,1198,2.5
POA4564,10591,44,1733,1269,2.4
POA4565,14500,49,1700,1058,2.4
POA4566,8124,53,1820,1152,2.2
POA4567,11016,47,1900,1373,2.3
POA4568,3554,46,1517,1153,2.5
POA4569,1624,45,1378,1060,2.5
POA4570,42420,45,1300,974,2.4
POA4571,809,49,1300,943,2.4
POA4572,3958,45,1829,1377,2.1
POA4573,26275,41,1900,1378,2.6
POA4574,1298,50,1400,1009,2.3
POA4575,23777,42,2000,1361,2.5
POA4580,4879,60,1127,726,2
POA4581,1525,49,1437,908,2.1
POA4600,893,50,1083,759,2.2
POA4601,1167,47,1092,833,2.3
POA4605,4843,37,997,901,2.7
POA4606,2446,49,1127,900,2.3
POA4608,909,49,1196,907,2.4
POA4610,14840,40,1300,1083,2.4
POA4611,118,40,874,900,2.7
POA4612,257,53,921,725,2.1
POA4613,861,51,864,736,2.2
POA4614,1182,52,999,758,2.1
POA4615,7052,49,1083,808,2.3
POA4620,400,55,782,781,2.2
POA4621,1783,53,923,754,2.2
POA4625,2760,45,1083,1005,2.4
POA4626,2208,41,1121,1085,2.4
POA4627,877,45,1083,845,2.3
POA4630,2401,48,1083,882,2.2
POA4650,33891,46,1213,914,2.3
POA4655,59539,48,1500,929,2.3
POA4659,4794,58,1244,771,2.1
POA4660,7145,54,1170,836,2.3
POA4662,791,43,1213,828,2.5
POA4670,79606,44,1387,1003,2.4
POA4671,6061,50,997,784,2.3
POA4673,652,51,1170,890,2.5
POA4674,1451,53,960,740,2.2
POA4676,160,55,1052,754,2.2
POA4677,3549,46,1600,964,2.3
POA4678,856,51,1733,1082,2.3
POA4680,54166,34,2000,1716,2.6
POA4694,189,41,1517,1187,2.6
POA4695,1121,42,1733,1262,2.5
POA4697,146,45,1820,1196,2.3
POA4699,455,42,1667,1205,2.8
POA4700,17437,39,1414,1188,2.3
POA4701,42762,36,1517,1282,2.5
POA4702,28609,36,1733,1344,2.7
POA4703,22530,43,1896,1272,2.5
POA4704,132,43,1328,1042,2.1
POA4705,354,42,2174,1375,2.4
POA4706,105,52,561,724,1.6
POA4707,245,55,1000,809,2
POA4709,1129,30,0,3528,3.3
POA4710,4846,43,1810,1065,2.4
POA4711,1851,40,1965,2026,3.2
POA4712,278,44,689,1172,2.3
POA4713,962,23,0,740,3.5
POA4714,2941,50,880,753,2.1
POA4715,7127,34,1600,1830,2.7
POA4716,887,41,1517,1432,2.5
POA4717,4749,30,1520,2184,2.7
POA4718,2375,34,1400,1772,2.5
POA4719,1007,42,1083,1131,2.2
POA4720,14394,31,2000,1895,2.8
POA4721,3717,34,1550,1523,2.6
POA4722,1816,38,1300,1661,2.7
POA4723,1424,33,1733,1680,2.7
POA4724,579,39,950,1205,2.4
POA4725,1539,43,1170,1236,2.2
POA4726,411,37,400,1031,2.4
POA4727,259,43,895,1166,2.2
POA4728,201,43,700,844,2.4
POA4730,3230,39,1300,1317,2.3
POA4731,218,47,523,766,2
POA4732,134,48,628,833,2
POA4733,183,48,0,1042,2.4
POA4735,967,46,1040,1084,2
POA4736,106,44,425,1162,2
POA4737,8137,41,1820,1367,2.6
POA4738,1180,45,1733,1344,2.6
POA4739,333,49,1200,949,2.3
POA4740,80089,37,1950,1442,2.5
POA4741,7079,43,1863,1348,2.6
POA4742,1140,37,1792,1658,2.3
POA4743,620,31,1590,2477,2.9
POA4744,8735,30,1733,2421,2.8
POA4745,2991,31,834,2152,2.7
POA4746,1935,30,230,2405,3
POA4750,5747,34,2080,1727,2.8
POA4751,4501,37,1960,1728,2.7
POA4753,4282,31,2167,1952,3
POA4754,2246,36,1860,1509,2.7
POA4756,609,46,1509,966,2.2
POA4757,347,49,1640,861,2.4
POA4798,688,47,1628,1169,2.3
POA4799,1058,47,1500,870,2.3
POA4800,9324,43,1690,1276,2.5
POA4801,264,29,0,0,0
POA4802,9832,36,1820,1347,2.4
POA4803,1867,28,2134,1681,1.9
POA4804,1730,44,1200,1003,2.2
POA4805,10828,42,1700,1090,2.4
POA4806,3874,46,1200,1134,2.4
POA4807,11038,43,1330,1180,2.4
POA4808,1113,45,1300,1267,2.4
POA4809,1001,45,1148,1200,2.3
POA4810,21836,39,1733,1357,2
POA4811,13142,34,1690,1512,2.6
POA4812,18804,38,1560,1114,2.2
POA4814,46124,32,1700,1488,2.7
POA4815,21032,33,1582,1283,2.8
POA4816,9270,42,1600,1107,2.7
POA4817,30413,34,1733,1588,2.8
POA4818,28218,31,1950,1677,2.8
POA4819,2335,54,1387,851,1.9
POA4820,10843,39,1317,1076,2.5
POA4821,1320,43,867,1140,2.3
POA4822,791,35,710,1183,2.3
POA4823,925,41,669,1168,2.4
POA4824,2769,35,1510,1700,2.5
POA4825,19246,31,1885,2114,2.7
POA4828,208,36,0,1107,2.1
POA4829,465,37,867,1375,2.4
POA4830,1714,24,0,1069,4.1
POA4849,1372,56,1300,834,2
POA4850,10918,50,1300,1039,2.3
POA4852,3686,46,1517,1063,2.2
POA4854,5481,42,1300,1173,2.5
POA4855,766,47,1146,1029,2.2
POA4856,706,47,1150,971,2.5
POA4858,1487,42,1487,1233,2.5
POA4859,463,47,987,1066,2.2
POA4860,11296,42,1300,1051,2.4
POA4861,1453,46,1224,910,2.2
POA4865,8119,37,1733,1409,2.8
POA4868,22063,37,1564,1350,2.6
POA4869,19010,31,1634,1433,2.9
POA4870,71009,37,1678,1275,2.4
POA4871,10978,41,1300,1071,2.7
POA4872,3902,48,1463,1013,2.4
POA4873,6458,44,1517,1078,2.3
POA4874,5240,30,2200,2174,3
POA4875,8101,26,1705,1232,3.5
POA4876,2827,22,326,1154,3.7
POA4877,5141,42,1733,1274,2.2
POA4878,13486,39,1690,1324,2.3
POA4879,19447,40,1760,1470,2.5
POA4880,13295,40,1500,1054,2.5
POA4881,4496,45,1647,1125,2.5
POA4882,2718,45,1600,1196,2.5
POA4883,8428,45,1473,993,2.3
POA4884,1870,48,1517,1097,2.4
POA4885,3803,49,1300,1019,2.4
POA4886,846,50,1279,842,2.2
POA4887,2038,50,1083,797,2.3
POA4888,3097,48,1127,777,2.3
POA4890,1282,31,927,1465,3
POA4891,531,52,1000,1125,1.9
POA4892,5614,28,684,975,3.5
POA4895,4453,40,1255,946,2.5
POA5000,15115,29,1733,1093,1.9
POA5005,0,0,0,0,0
POA5006,6950,37,1950,1693,1.9
POA5007,7084,36,1645,1270,2.1
POA5008,13681,38,1600,1109,2.4
POA5009,5030,40,1600,1203,2.4
POA5010,5853,37,1517,974,2.6
POA5011,11712,36,1733,1326,2.4
POA5012,11170,34,1517,970,2.7
POA5013,9985,40,1387,982,2.4
POA5014,11767,42,1543,1085,2.2
POA5015,5697,41,1500,1134,2.1
POA5016,8851,43,1668,1306,2.3
POA5017,5025,41,1446,917,2.3
POA5018,5567,49,1700,1388,2.4
POA5019,9122,45,1733,1235,2.2
POA5020,3112,48,1733,1498,2.5
POA5021,5787,54,1863,1293,2.2
POA5022,15743,44,1868,1488,2.3
POA5023,16572,40,1600,1051,2.3
POA5024,13846,45,1800,1345,2.4
POA5025,8256,43,1798,1324,2.5
POA5031,9933,36,1733,1279,2.3
POA5032,12710,39,1660,1260,2.4
POA5033,8373,36,1647,1137,2.2
POA5034,10042,39,2000,1692,2.4
POA5035,6103,37,1600,1260,2.2
POA5037,10786,37,1672,1198,2.3
POA5038,15262,36,1600,1182,2.2
POA5039,8851,37,1798,1194,2.4
POA5040,2504,45,2000,1257,2.4
POA5041,13391,41,1858,1636,2.6
POA5042,10837,35,1600,1134,2.4
POA5043,18780,39,1600,1016,2.2
POA5044,10875,45,1800,1399,2.2
POA5045,15589,44,1777,1367,2.1
POA5046,9086,41,1625,1159,2.2
POA5047,8263,38,1638,1168,2.3
POA5048,14225,46,1733,1290,2.3
POA5049,9764,44,1763,1502,2.5
POA5050,5602,46,1707,1512,2.5
POA5051,14074,41,1842,1837,2.7
POA5052,6369,45,1831,1829,2.6
POA5061,9695,42,2167,1931,2.4
POA5062,14917,43,2000,1769,2.5
POA5063,12308,40,1937,1579,2.3
POA5064,9855,46,2167,1799,2.5
POA5065,10202,44,2000,1498,2.4
POA5066,11718,44,2100,2070,2.7
POA5067,10144,39,1950,1510,2.1
POA5068,12184,43,1950,1349,2.3
POA5069,8292,40,2000,1599,2.4
POA5070,14270,41,1733,1174,2.2
POA5072,12666,41,1806,1394,2.5
POA5073,15238,41,1733,1267,2.5
POA5074,12943,41,1600,1124,2.4
POA5075,10630,42,1560,1272,2.5
POA5076,9173,43,1647,1632,2.7
POA5081,9279,43,2000,1675,2.3
POA5082,14930,37,1907,1571,2.5
POA5083,7489,37,1733,1363,2.4
POA5084,10057,34,1493,915,2.6
POA5085,19974,34,1700,1296,2.5
POA5086,16141,36,1593,1214,2.4
POA5087,11378,36,1647,1179,2.3
POA5088,3296,38,1421,1075,2.3
POA5089,6586,42,1602,1705,2.7
POA5090,7887,47,1500,1081,2.3
POA5091,7505,42,1560,1439,2.6
POA5092,17569,39,1452,1284,2.5
POA5093,9012,40,1430,1171,2.5
POA5094,900,40,1269,1022,2.7
POA5095,20525,33,1625,1412,2.6
POA5096,13387,37,1300,1214,2.6
POA5097,13565,41,1500,1332,2.5
POA5098,12321,41,1408,1116,2.5
POA5106,201,38,0,471,1.2
POA5107,17097,35,1387,1142,2.8
POA5108,40609,34,1300,1028,2.6
POA5109,20856,39,1343,1120,2.5
POA5110,8956,34,1471,1191,2.8
POA5111,272,22,0,0,0
POA5112,19421,38,1170,836,2.4
POA5113,18890,33,1000,764,2.4
POA5114,33959,31,1386,1252,2.8
POA5115,10390,28,1400,1208,2.7
POA5116,9455,37,1430,1082,2.4
POA5117,2923,37,1790,1799,3.2
POA5118,18411,42,1500,1269,2.5
POA5120,1977,39,1779,1237,2.8
POA5121,1673,44,1473,1088,2.5
POA5125,19218,40,1625,1570,2.6
POA5126,7180,38,1517,1490,2.6
POA5127,7763,41,1519,1490,2.6
POA5131,980,47,1733,1680,2.9
POA5132,426,45,1950,1952,2.8
POA5133,390,46,1900,1906,3
POA5134,431,46,2000,1421,2.7
POA5136,532,43,1733,1607,2.8
POA5137,579,45,1950,1818,2.9
POA5138,294,46,1863,1888,2.6
POA5139,236,48,1733,1542,2.4
POA5140,421,38,2019,2208,2.8
POA5141,681,43,1916,1862,2.8
POA5142,575,44,1833,1653,2.6
POA5144,414,51,2000,1625,2.5
POA5150,61,54,2246,2125,2.7
POA5151,369,44,2167,2109,2.8
POA5152,6132,45,2000,1968,2.6
POA5153,6428,44,1733,1685,2.7
POA5154,3361,45,2000,2103,2.8
POA5155,3824,41,1660,1727,2.6
POA5156,951,43,1733,1818,2.7
POA5157,2914,47,1625,1729,2.7
POA5158,24735,39,1582,1593,2.7
POA5159,32934,41,1561,1540,2.7
POA5160,29,47,0,466,2
POA5161,10154,39,1365,1162,2.4
POA5162,34294,39,1338,1113,2.4
POA5163,14125,40,1300,1014,2.5
POA5164,5289,39,1200,770,2.2
POA5165,5383,40,1348,957,2.2
POA5166,1879,43,1179,891,2.2
POA5167,5705,43,1517,1172,2.4
POA5168,5499,37,1374,1050,2.4
POA5169,17084,35,1599,1232,2.6
POA5170,1152,44,1394,1152,2.4
POA5171,5923,47,1625,1315,2.5
POA5172,3932,44,1625,1439,2.6
POA5173,12769,36,1431,1090,2.5
POA5174,2917,39,1404,1117,2.5
POA5201,1944,42,1590,1478,2.6
POA5202,868,43,1500,1269,2.5
POA5203,1268,53,1200,909,2.3
POA5204,2824,58,1083,840,2
POA5210,1718,41,1647,1317,2.7
POA5211,15276,57,1300,846,2.1
POA5212,2102,60,1200,869,2.1
POA5213,1156,47,1404,1122,2.3
POA5214,8397,58,1200,813,2.1
POA5220,149,36,972,1093,2.1
POA5221,288,57,867,762,2.1
POA5222,629,54,1083,877,1.9
POA5223,3642,47,1083,973,2.2
POA5231,1227,45,1767,1724,2.7
POA5232,421,48,1500,2026,2.8
POA5233,1474,46,1625,1419,2.6
POA5234,1298,42,1630,1371,2.6
POA5235,2475,48,1300,1123,2.3
POA5236,302,47,1300,1125,2.3
POA5237,357,44,1083,881,2.3
POA5238,4084,53,1040,804,2.1
POA5240,485,46,1400,1483,2.6
POA5241,2527,42,1408,1275,2.6
POA5242,1621,44,1710,1561,2.6
POA5243,832,47,1950,1617,2.5
POA5244,4263,43,1541,1394,2.6
POA5245,3084,49,1733,1488,2.5
POA5250,3523,39,1733,1787,2.8
POA5251,14623,38,1638,1315,2.5
POA5252,6516,35,1517,1476,2.7
POA5253,18489,40,1170,945,2.4
POA5254,2387,43,1200,1255,2.6
POA5255,9248,45,1517,1189,2.5
POA5256,1355,53,1083,824,2.1
POA5259,1110,47,1083,1012,2.4
POA5260,1755,48,867,798,2.2
POA5261,368,43,800,1055,2.4
POA5262,412,43,867,1221,2.4
POA5263,137,48,1000,1678,2.3
POA5264,1250,52,1000,902,2.2
POA5265,431,42,687,956,2.3
POA5266,624,38,997,1279,2.4
POA5267,1959,41,867,1174,2.4
POA5268,3544,42,1000,1149,2.4
POA5269,258,46,737,890,2.6
POA5270,608,44,1200,1364,2.6
POA5271,7428,41,1083,1197,2.4
POA5272,794,45,780,1262,2.3
POA5273,111,39,1000,1187,2.4
POA5275,2412,50,1040,967,2.2
POA5276,1181,52,1300,1034,2
POA5277,2914,44,867,1077,2.3
POA5278,521,45,672,968,2.5
POA5279,527,45,520,963,2.4
POA5280,7370,47,1000,981,2.3
POA5290,25512,40,1152,1034,2.3
POA5291,9171,42,1362,1454,2.7
POA5301,574,47,542,988,2.4
POA5302,852,48,823,1190,2.3
POA5303,211,38,759,1399,2.8
POA5304,770,45,650,1125,2.2
POA5306,76,46,1000,833,2.2
POA5307,573,52,686,794,2.3
POA5308,145,43,392,1218,2.6
POA5309,157,47,734,817,2.2
POA5310,62,47,779,914,2.1
POA5311,418,45,563,1125,2.6
POA5320,652,57,867,709,1.9
POA5321,548,46,709,809,2
POA5322,1000,48,867,1059,2.3
POA5330,3368,47,953,927,2.3
POA5331,317,48,1083,1028,2.5
POA5332,403,48,780,1007,2.2
POA5333,5809,45,1083,1040,2.3
POA5340,1432,44,1109,1095,2.3
POA5341,7665,43,1081,1003,2.4
POA5342,1124,45,1129,1180,2.5
POA5343,4846,43,1083,923,2.2
POA5344,984,45,1083,1177,2.5
POA5345,3582,48,1100,909,2.2
POA5346,380,45,833,1257,2.5
POA5350,476,43,1600,1678,2.8
POA5351,5864,41,1517,1466,2.7
POA5352,5216,46,1454,1275,2.3
POA5353,3775,45,1300,1186,2.4
POA5354,367,54,650,732,1.9
POA5355,7594,42,1430,1211,2.4
POA5356,810,43,1111,1208,2.6
POA5357,419,52,867,759,2
POA5360,1118,40,1408,1564,2.8
POA5371,1268,37,1582,1712,3
POA5372,2214,35,1365,1452,2.8
POA5373,3427,45,1200,1057,2.3
POA5374,1480,47,990,908,2.3
POA5381,384,52,450,764,2.2
POA5400,877,33,1509,1429,2.7
POA5401,847,45,1018,1151,2.5
POA5410,317,45,1300,1050,2.4
POA5411,324,41,975,1125,2.6
POA5412,1207,54,1083,958,2.1
POA5413,831,50,819,900,2.3
POA5414,149,51,730,779,1.9
POA5415,222,53,1400,1137,2.3
POA5416,248,42,997,887,2.6
POA5417,1486,50,823,920,2.2
POA5418,114,45,581,758,1.9
POA5419,223,48,497,933,2.4
POA5420,83,46,679,1218,2.6
POA5421,139,48,650,725,1.9
POA5422,1686,53,563,710,2
POA5431,906,52,820,978,2.2
POA5432,137,55,592,1399,2.3
POA5433,1256,51,1000,910,2.1
POA5434,456,46,693,1117,2.1
POA5440,263,43,200,1264,2.1
POA5451,695,52,1300,1094,2.1
POA5452,442,44,1408,1464,2.6
POA5453,4938,44,1333,1228,2.3
POA5454,398,46,780,1035,2.4
POA5455,58,32,0,1437,2.9
POA5460,746,43,1083,1157,2.5
POA5461,2553,45,953,1016,2.3
POA5462,518,35,1083,1152,2.6
POA5464,634,42,780,1134,2.6
POA5470,140,52,477,922,2
POA5471,88,47,390,1062,2.4
POA5472,168,50,459,819,2.2
POA5473,755,48,626,841,2.3
POA5480,773,50,964,1004,2.2
POA5481,562,55,693,868,2.2
POA5482,516,52,858,1035,2.2
POA5483,347,47,1029,1059,2.3
POA5485,581,51,1083,1033,2.4
POA5490,172,50,580,937,2.3
POA5491,1816,47,1083,1170,2.2
POA5493,91,51,700,754,2
POA5495,595,56,1062,783,2
POA5501,7323,41,1500,1326,2.7
POA5502,1540,42,1257,1346,2.6
POA5510,113,48,758,1107,2
POA5520,589,49,650,792,2.1
POA5521,148,50,597,725,2.3
POA5522,1421,60,1159,788,1.9
POA5523,1935,47,1056,1013,2.4
POA5540,15343,43,1018,893,2.3
POA5550,916,40,867,987,2.3
POA5552,381,42,672,1057,2.6
POA5554,5233,43,1155,974,2.3
POA5555,502,53,700,913,2.3
POA5556,4039,53,1196,812,2.1
POA5558,4830,55,1162,853,2.1
POA5560,471,45,867,806,2.3
POA5570,544,60,823,751,1.8
POA5571,1850,58,1083,794,2
POA5572,148,47,867,1125,2.1
POA5573,2041,51,975,965,2.2
POA5575,2332,54,1083,838,2.1
POA5576,1070,51,962,835,2.2
POA5577,528,52,800,779,2.1
POA5580,346,52,737,887,2.2
POA5581,542,64,1083,791,1.9
POA5582,648,60,1083,863,2
POA5583,785,60,1000,773,2
POA5600,6202,44,1495,1349,2.2
POA5601,469,51,1507,855,2.1
POA5602,1341,48,1181,1051,2.3
POA5603,446,44,875,1095,2.4
POA5604,194,58,1239,900,1.9
POA5605,1690,54,1170,877,2
POA5606,14128,40,1300,1082,2.3
POA5607,4919,43,1491,1238,2.5
POA5608,13357,39,1083,809,2.2
POA5609,1950,32,1829,1655,2.6
POA5630,136,40,719,1333,2.9
POA5631,1046,41,1083,1221,2.5
POA5632,250,33,697,1888,3
POA5633,321,43,260,1078,2.4
POA5640,1017,47,867,1071,2.1
POA5641,1023,41,813,1225,2.4
POA5642,251,40,0,1107,2.6
POA5650,175,38,0,1208,2.4
POA5651,79,43,956,1875,2.2
POA5652,728,38,867,1187,2.4
POA5653,79,44,813,1625,2.5
POA5654,241,47,607,880,2
POA5655,100,34,563,1050,2.2
POA5660,45,32,0,1437,2
POA5661,146,39,338,1171,2.4
POA5670,482,48,1185,886,2.2
POA5671,163,46,705,914,1.9
POA5680,2117,48,1277,1079,2.3
POA5690,3656,38,1281,1239,2.5
POA5700,11136,41,1170,1051,2.3
POA5701,8,50,0,899,0
POA5710,2673,35,1500,1465,2.6
POA5713,18,26,0,0,0
POA5715,42,34,0,1125,2.9
POA5717,19,31,0,1062,1
POA5719,41,47,0,1042,1.2
POA5720,195,48,0,1488,1.6
POA5722,316,53,929,708,1.8
POA5723,2059,44,556,841,1.9
POA5724,433,34,0,959,2.5
POA5725,3888,30,2000,2477,2.7
POA5730,94,50,0,737,1.9
POA5731,499,39,0,1428,2.4
POA5732,211,43,0,762,2
POA5733,229,40,0,833,2.3
POA5734,167,31,0,468,2.1
POA5950,0,0,0,0,0
POA5960,5,0,0,0,0
POA6000,11425,32,2167,1827,1.9
POA6003,3509,32,2041,1765,1.9
POA6004,10596,33,2167,1868,1.9
POA6005,5624,33,2000,1736,1.8
POA6006,8744,37,2400,2074,2.4
POA6007,7130,34,2383,2163,2.2
POA6008,15144,39,2500,2107,2.2
POA6009,18534,34,3300,2306,2.7
POA6010,16825,43,2817,2170,2.5
POA6011,9007,42,3225,2782,2.5
POA6012,8757,40,2700,1864,2.4
POA6014,20604,37,2500,2021,2.6
POA6015,6609,45,3033,2925,2.9
POA6016,10035,34,2167,1957,2.5
POA6017,4120,33,1733,1207,2
POA6018,38004,38,2339,1942,2.5
POA6019,21787,35,2210,1941,2.3
POA6020,20791,44,2210,2138,2.7
POA6021,20058,39,2000,1570,2.5
POA6022,4982,40,2000,1614,2.6
POA6023,15268,41,2167,2142,2.8
POA6024,13347,40,2000,1662,2.6
POA6025,30031,39,2031,1881,2.7
POA6026,22337,43,2000,1986,2.8
POA6027,41677,38,2000,1822,2.7
POA6028,22440,37,2167,2289,3.1
POA6029,2794,42,2650,2230,2.7
POA6030,39386,34,2000,1629,2.8
POA6031,16624,30,2123,1902,3.1
POA6032,195,43,2342,1833,2.6
POA6033,442,42,2084,1875,3.2
POA6034,1680,27,2363,1982,2.7
POA6035,8868,34,2050,1511,2.8
POA6036,15796,29,2136,1715,2.9
POA6037,2990,39,2000,1276,2.6
POA6038,6269,28,2249,1942,2.8
POA6041,1514,48,2000,1093,2.5
POA6042,78,64,826,687,1.7
POA6043,244,53,1500,843,2.1
POA6044,1233,52,1674,959,2.2
POA6050,15380,39,2300,1894,2.3
POA6051,12577,34,1950,1449,2
POA6052,11113,37,2167,1805,2.4
POA6053,14432,38,2100,1705,2.4
POA6054,20378,38,1733,1415,2.5
POA6055,21034,32,2167,1902,2.7
POA6056,39167,39,1744,1357,2.5
POA6057,16806,37,1953,1635,2.7
POA6058,12690,37,1858,1459,2.6
POA6059,23486,41,2000,1477,2.5
POA6060,23393,36,1950,1420,2.1
POA6061,38563,32,1733,1225,2.5
POA6062,32670,39,1950,1432,2.6
POA6063,14359,34,1800,1481,3
POA6064,31325,35,1733,1296,2.9
POA6065,61998,33,2167,1920,2.9
POA6066,18704,35,1780,1588,3
POA6067,36,28,0,0,0
POA6068,7,65,0,1374,1.5
POA6069,39391,31,2167,1849,3
POA6070,3656,44,2167,1988,2.8
POA6071,3400,45,2064,1866,2.7
POA6072,900,46,2000,1937,2.7
POA6073,3041,47,2000,1387,2.5
POA6074,991,44,1975,1767,2.7
POA6076,21948,45,2107,1699,2.6
POA6077,1428,49,2600,1629,2.8
POA6078,934,44,2167,1991,3
POA6079,30,64,0,1124,1.8
POA6081,4756,42,2000,1912,2.9
POA6082,3221,40,2100,1777,2.8
POA6083,3512,45,2002,1867,2.8
