POA_CODE_2016,Total_Persons_Persons,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_hhd_inc_weekly,Average_household_size
POA2292,2465,35,1783,1333,2.2
POA2293,2521,36,1842,1488,2.1
POA2294,1929,35,1733,1402,2.1
POA2295,6925,50,2000,1177,2.3
POA2296,1883,34,1733,1354,2.1
POA2297,1680,37,1733,1372,2.3
POA2298,9498,36,1733,1174,2.3
POA2299,11207,33,1733,1158,2.5
POA2300,10578,37,2015,1653,2
POA2302,564,35,1740,1339,1.7
POA2303,9143,41,2026,1288,2.3
POA2304,15176,37,1700,1231,2.3
POA2305,12506,40,1950,1581,2.5
POA2306,3358,38,1481,689,2.3
POA2307,3905,33,1517,1038,2.4
POA2308,1326,20,0,0,0
POA2311,858,47,1593,1074,2.5
POA2312,1458,47,1300,988,2.7
POA2314,203,26,0,0,0
POA2315,14658,51,1733,1124,2.3
POA2316,5849,46,1810,1155,2.5
POA2317,6244,52,1692,1043,2.2
POA2318,12147,39,1831,1598,2.8
POA2319,6684,49,1517,974,2.4
POA2320,34556,36,1800,1451,2.7
POA2321,14625,36,1950,1633,2.8
POA2322,18450,37,1625,1351,2.7
POA2323,25735,38,1700,1287,2.5
POA2324,23648,45,1517,1082,2.4
POA2325,28460,39,1517,1105,2.5
POA2326,7332,39,1394,1111,2.6
POA2327,7615,41,1352,998,2.4
POA2328,2442,41,1733,1237,2.5
POA2329,2112,44,1170,1052,2.4
POA2330,20350,36,1900,1639,2.6
POA2331,319,21,0,0,0
POA2333,13647,34,1714,1352,2.5
POA2334,2830,33,1647,1412,2.7
POA2335,6156,35,1890,1758,2.8
POA2336,2614,39,1700,1400,2.5
POA2337,7891,39,1802,1351,2.4
POA2338,1430,48,1291,885,2.2
POA2339,679,44,1300,1146,2.5
POA2340,49072,38,1517,1224,2.5
POA2341,1572,49,919,786,2.1
POA2342,471,46,1537,1130,2.4
POA2343,4968,44,1174,1087,2.4
POA2344,756,45,1625,1443,2.6
POA2345,721,43,1300,1262,2.5
POA2346,3149,47,1120,877,2.3
POA2347,1931,53,650,746,2.1
POA2350,25339,37,1500,1229,2.4
POA2351,976,20,0,0,2
POA2352,2716,41,1387,1244,2.5
POA2353,1126,52,1517,1064,2.4
POA2354,3576,47,1083,1049,2.3
POA2355,663,50,1083,804,2.1
POA2356,162,46,400,739,2.3
POA2357,4159,49,1000,914,2.3
POA2358,3767,47,1300,973,2.3
POA2359,736,46,800,774,2.4
POA2360,14529,41,1264,973,2.4
POA2361,909,50,650,795,2.3
POA2365,3721,44,1180,1028,2.4
POA2369,927,45,867,829,2.6
POA2370,7687,46,1083,857,2.2
POA2371,1155,55,867,725,2.1
POA2372,4742,53,1083,795,2.1
POA2379,313,44,498,1180,2.7
POA2380,10392,39,1517,1284,2.4
POA2381,1193,44,925,1059,2.4
POA2382,1319,42,1255,1180,2.4
POA2386,360,43,557,1085,2.5
POA2387,201,41,0,982,2.7
POA2388,2674,39,1040,1075,2.5
POA2390,8757,40,1517,1320,2.5
POA2395,671,55,704,715,2
POA2396,857,49,758,789,2.2
POA2397,377,37,869,1226,2.6
POA2398,236,43,700,1275,2.4
POA2399,597,42,1185,1194,2.4
POA2400,10084,38,1300,1284,2.4
POA2401,321,43,1000,1053,2.5
POA2402,1792,47,1000,903,2.3
POA2403,718,43,780,805,2.5
POA2404,1838,54,1049,795,2.1
POA2405,514,42,650,1281,2.3
POA2406,823,36,817,1203,2.3
POA2408,376,37,309,1392,2.5
POA2409,1030,31,748,923,2.9
POA2410,278,45,650,762,2.3
POA2411,120,35,823,1291,2.2
POA2415,390,46,1517,1187,2.7
POA2420,4023,48,1400,1001,2.3
POA2421,1828,41,1950,1638,2.7
POA2422,5338,52,1300,887,2.2
POA2423,2964,53,1248,826,2.2
POA2424,425,48,1092,742,2.2
POA2425,1780,46,1560,1219,2.5
POA2426,720,50,1083,812,2.3
POA2427,3114,61,1472,786,2.1
POA2428,24009,56,1400,832,2.1
POA2429,9717,50,1300,925,2.4
POA2430,34018,48,1309,913,2.3
POA2431,5133,56,1500,871,2.1
POA2439,2941,50,1517,1066,2.5
POA2440,21819,45,1274,905,2.4
POA2441,4345,47,1300,950,2.5
POA2443,8894,59,1343,781,2
POA2444,46284,47,1733,1076,2.3
POA2445,6466,49,1733,1131,2.5
POA2446,13330,44,1600,1117,2.6
POA2447,7178,49,1300,946,2.4
POA2448,9000,54,1326,783,2.1
POA2449,2188,47,1018,774,2.3
POA2450,43894,44,1636,1140,2.5
POA2452,15120,44,1517,1016,2.4
POA2453,2768,52,1105,840,2.2
POA2454,7570,45,1434,1056,2.5
POA2455,3000,54,1517,931,2.1
POA2456,14749,44,1586,1111,2.5
POA2460,29216,45,1300,948,2.4
POA2462,2443,52,1105,806,2.2
POA2463,7545,52,1387,932,2.4
POA2464,6738,55,1517,900,2.1
POA2465,291,49,1327,825,2.3
POA2466,1730,62,1205,723,1.9
